Unnamed: 0,French,English
0,partie,part
1,histoire,history
4,pensais,thought
5,aide,help
6,genre,kind
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,aucun,no
12,ville,city
13,chaque,each
14,parlé,speak
15,arrivé,come
16,devrait,should
17,longtemps,long time
18,heures,hours
19,pendant,while
20,revoir,meet again
21,aucune,any
22,place,square
23,parle,speak
24,compris,understood
25,savais,knew
26,étaient,were
27,attention,Warning
28,voici,here is
29,pourrais,could
30,affaire,case
32,type,type
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,dont,whose
42,trouve,find
43,premier,first
44,perdu,lost
45,main,hand
46,première,first
47,côté,side
48,pouvoir,power
49,vieux,old
50,sois,be
51,tiens,here
53,tellement,so much
54,enfant,child
55,point,point
56,venu,came
57,suite,after
58,pardon,sorry
59,venez,come
60,devant,in front of
61,vers,towards
62,minutes,minutes
63,demandé,request
64,chambre,bedroom
65,mis,placed
66,belle,beautiful
67,droit,law
68,aimerais,would like to
69,aujourd'hui,today
70,mari,husband
71,cause,cause
72,enfin,finally
73,espère,hope
74,attendez,Wait
75,parti,left
76,nouvelle,new
77,boulot,job
78,arrêter,Stop
79,dirait,would say
80,terre,Earth
81,compte,account
82,donne,given
83,loin,far
84,fin,end
85,croire,believe
86,chérie,sweetheart
87,gros,large
88,plutôt,rather
89,aura,will have
90,filles,girls
91,jouer,to play
92,bureau,office
